GENDER,AGE,DEBT,MARRIED,BANK_CUSTOMER,EDUCATION_LEVEL,ETHNICITY,YEARS_EMPLOYED,PRIOR_DEFAULT,EMPLOYED,CITIZEN,ZIP_CODE,INCOME,APPROVED
1,30.83,0,0,1,w,v,1.25,1,1,1,00202,0,1
0,58.67,4.46,0,1,q,h,3.04,1,1,1,00043,560,1
0,24.50,0.5,0,1,q,h,1.5,1,0,1,00280,824,1
1,27.83,1.54,0,1,w,v,3.75,1,1,1,00100,3,1
1,20.17,5.625,0,1,w,v,1.71,1,0,0,00120,0,1
1,32.08,4,0,1,m,v,2.5,1,0,1,00360,0,1
1,33.17,1.04,0,1,r,h,6.5,1,0,1,00164,31285,1
0,22.92,11.585,0,1,cc,v,0.04,1,0,1,00080,1349,1
1,54.42,0.5,1,0,k,h,3.96,1,0,1,00180,314,1
1,42.50,4.915,1,0,w,v,3.165,1,0,1,00052,1442,1
1,22.08,0.83,0,1,c,h,2.165,0,0,1,00128,0,1
1,29.92,1.835,0,1,c,h,4.335,1,0,1,00260,200,1
0,38.25,6,0,1,k,v,1,1,0,1,00000,0,1
1,48.08,6.04,0,1,k,v,0.04,0,0,1,00000,2690,1
0,45.83,10.5,0,1,q,v,5,1,1,1,00000,0,1
1,36.67,4.415,1,0,k,v,0.25,1,1,1,00320,0,1
1,28.25,0.875,0,1,m,v,0.96,1,1,1,00396,0,1
0,23.25,5.875,0,1,q,v,3.17,1,1,1,00120,245,1
1,21.83,0.25,0,1,d,h,0.665,1,0,1,00000,0,1
0,19.17,8.585,0,1,cc,h,0.75,1,1,1,00096,0,1
1,25.00,11.25,0,1,c,v,2.5,1,1,1,00200,1208,1
1,23.25,1,0,1,c,v,0.835,1,0,0,00300,0,1
0,47.75,8,0,1,c,v,7.875,1,1,1,00000,1260,1
0,27.42,14.5,0,1,x,h,3.085,1,1,1,00120,11,1
0,41.17,6.5,0,1,q,v,0.5,1,1,1,00145,0,1
0,15.83,0.585,0,1,c,h,1.5,1,1,1,00100,0,1
0,47.00,13,0,1,i,bb,5.165,1,1,1,00000,0,1
1,56.58,18.5,0,1,d,bb,15,1,1,1,00000,0,1
1,57.42,8.5,0,1,e,h,7,1,1,1,00000,0,1
1,42.08,1.04,0,1,w,v,5,1,1,1,00500,10000,1
1,29.25,14.79,0,1,aa,v,5.04,1,1,1,00168,0,1
1,42.00,9.79,0,1,x,h,7.96,1,1,1,00000,0,1
1,49.50,7.585,0,1,i,bb,7.585,1,1,1,00000,5000,1
0,36.75,5.125,0,1,e,v,5,1,0,1,00000,4000,1
0,22.58,10.75,0,1,q,v,0.415,1,1,1,00000,560,1
1,27.83,1.5,0,1,w,v,2,1,1,1,00434,35,1
1,27.25,1.585,0,1,cc,h,1.835,1,1,1,00583,713,1
0,23.00,11.75,0,1,x,h,0.5,1,1,1,00300,551,1
1,27.75,0.585,1,0,cc,v,0.25,1,1,1,00260,500,1
1,54.58,9.415,0,1,ff,ff,14.415,1,1,1,00030,300,1
1,34.17,9.17,0,1,c,v,4.5,1,1,1,00000,221,1
1,28.92,15,0,1,c,h,5.335,1,1,1,00000,2283,1
1,29.67,1.415,0,1,w,h,0.75,1,1,1,00240,100,1
1,39.58,13.915,0,1,w,v,8.625,1,1,1,00070,0,1
1,56.42,28,1,0,c,v,28.5,1,1,1,00000,15,1
1,54.33,6.75,0,1,c,h,2.625,1,1,1,00000,284,1
0,41.00,2.04,1,0,q,h,0.125,1,1,1,00455,1236,1
1,31.92,4.46,0,1,cc,h,6.04,1,1,1,00311,300,1
1,41.50,1.54,0,1,i,bb,3.5,0,0,1,00216,0,1
1,23.92,0.665,0,1,c,v,0.165,0,0,1,00100,0,1
0,25.75,0.5,0,1,c,h,0.875,1,0,1,00491,0,1
1,26.00,1,0,1,q,v,1.75,1,0,1,00280,0,1
1,37.42,2.04,0,1,w,v,0.04,1,0,1,00400,5800,1
1,34.92,2.5,0,1,w,v,0,1,0,1,00239,200,1
1,34.25,3,0,1,cc,h,7.415,1,0,1,00000,0,1
1,23.33,11.625,1,0,w,v,0.835,1,0,1,00160,300,1
1,23.17,0,0,1,cc,v,0.085,1,0,1,00000,0,1
1,44.33,0.5,0,1,i,h,5,1,0,1,00320,0,1
1,35.17,4.5,0,1,x,h,5.75,0,0,0,00711,0,1
1,43.25,3,0,1,q,h,6,1,1,1,00080,0,1
1,56.75,12.25,0,1,m,v,1.25,1,1,1,00200,0,1
1,31.67,16.165,0,1,d,v,3,1,1,1,00250,730,1
0,23.42,0.79,1,0,q,v,1.5,1,1,1,00080,400,1
0,20.42,0.835,0,1,q,v,1.585,1,1,1,00000,0,1
1,26.67,4.25,0,1,cc,v,4.29,1,1,1,00120,0,1
1,34.17,1.54,0,1,cc,v,1.54,1,1,1,00520,50000,1
0,36.00,1,0,1,c,v,2,1,1,1,00000,456,1
1,25.50,0.375,0,1,m,v,0.25,1,1,1,00260,15108,1
1,19.42,6.5,0,1,w,h,1.46,1,1,1,00080,2954,1
1,35.17,25.125,0,1,x,h,1.625,1,1,1,00515,500,1
1,32.33,7.5,0,1,e,bb,1.585,1,0,0,00420,0,0
1,34.83,4,0,1,d,bb,12.5,1,0,1,?,0,0
0,38.58,5,0,1,cc,v,13.5,1,0,1,00980,0,0
1,44.25,0.5,0,1,m,v,10.75,1,0,0,00400,0,0
1,44.83,7,1,0,c,v,1.625,0,0,1,00160,2,0
1,20.67,5.29,0,1,q,v,0.375,1,1,1,00160,0,0
1,34.08,6.5,0,1,aa,v,0.125,1,0,1,00443,0,0
0,19.17,0.585,1,0,aa,v,0.585,1,0,1,00160,0,0
1,21.67,1.165,1,0,k,v,2.5,1,1,1,00180,20,0
1,21.50,9.75,0,1,c,v,0.25,1,0,1,00140,0,0
1,49.58,19,0,1,ff,ff,0,1,1,1,00094,0,0
0,27.67,1.5,0,1,m,v,2,1,0,0,00368,0,0
1,39.83,0.5,0,1,m,v,0.25,1,0,0,00288,0,0
0,?,3.5,0,1,d,v,3,1,0,1,00300,0,0
1,27.25,0.625,0,1,aa,v,0.455,1,0,1,00200,0,0
1,37.17,4,0,1,c,bb,5,1,0,0,00280,0,0
1,?,0.375,0,1,d,v,0.875,1,0,0,00928,0,0
1,25.67,2.21,1,0,aa,v,4,1,0,1,00188,0,0
1,34.00,4.5,0,1,aa,v,1,1,0,1,00240,0,0
0,49.00,1.5,0,1,j,j,0,1,0,1,00100,27,0
1,62.50,12.75,1,0,c,h,5,1,0,1,00112,0,0
1,31.42,15.5,0,1,c,v,0.5,1,0,1,00120,0,0
1,?,5,1,0,aa,v,8.5,1,0,1,00000,0,0
1,52.33,1.375,1,0,c,h,9.46,1,0,1,00200,100,0
1,28.75,1.5,1,0,c,v,1.5,1,0,1,00000,225,0
0,28.58,3.54,0,1,i,bb,0.5,1,0,1,00171,0,0
1,23.00,0.625,1,0,aa,v,0.125,1,0,1,00180,1,0
1,?,0.5,0,1,c,bb,0.835,1,0,0,00320,0,0
0,22.50,11,1,0,q,v,3,1,0,1,00268,0,0
0,28.50,1,0,1,q,v,1,1,1,1,00167,500,0
1,37.50,1.75,1,0,c,bb,0.25,1,0,1,00164,400,0
1,35.25,16.5,1,0,c,v,4,1,0,1,00080,0,0
1,18.67,5,0,1,q,v,0.375,1,1,1,00000,38,0
1,25.00,12,0,1,k,v,2.25,1,1,1,00120,5,0
1,27.83,4,1,0,i,h,5.75,1,1,1,00075,0,0
1,54.83,15.5,0,1,e,z,0,1,1,1,00152,130,0
1,28.75,1.165,0,1,k,v,0.5,1,0,0,00280,0,0
0,25.00,11,1,0,aa,v,4.5,1,0,1,00120,0,0
1,40.92,2.25,1,0,x,h,10,1,0,1,00176,0,0
0,19.75,0.75,0,1,c,v,0.795,1,1,1,00140,5,0
1,29.17,3.5,0,1,w,v,3.5,1,1,1,00329,0,0
0,24.50,1.04,1,0,ff,ff,0.5,1,1,1,00180,147,0
1,24.58,12.5,0,1,w,v,0.875,1,0,1,00260,0,0
0,33.75,0.75,0,1,k,bb,1,1,1,1,00212,0,0
1,20.67,1.25,1,0,c,h,1.375,1,1,1,00140,210,0
0,25.42,1.125,0,1,q,v,1.29,1,1,1,00200,0,0
1,37.75,7,0,1,q,h,11.5,1,1,1,00300,5,0
1,52.50,6.5,0,1,k,v,6.29,1,1,1,00000,11202,1
1,57.83,7.04,0,1,m,v,14,1,1,1,00360,1332,1
0,20.75,10.335,0,1,cc,h,0.335,1,1,1,00080,50,1
1,39.92,6.21,0,1,q,v,0.04,1,1,1,00200,300,1
1,25.67,12.5,0,1,cc,v,1.21,1,1,1,00140,258,1
0,24.75,12.5,0,1,aa,v,1.5,1,1,1,00120,567,1
0,44.17,6.665,0,1,q,v,7.375,1,1,1,00000,0,1
0,23.50,9,0,1,q,v,8.5,1,1,1,00120,0,1
1,34.92,5,0,1,x,h,7.5,1,1,1,00000,1000,1
1,47.67,2.5,0,1,m,bb,2.5,1,1,1,00410,2510,1
1,22.75,11,0,1,q,v,2.5,1,1,1,00100,809,1
1,34.42,4.25,0,1,i,bb,3.25,1,1,1,00274,610,1
0,28.42,3.5,0,1,w,v,0.835,1,0,0,00280,0,1
