CRIM,ZNRES,ZNIND,CHAR,NROOMS,AGE,DISC,BATH,IPTU,PRATIO,DISM,MEDV
0.00632,18,2.31,0,4,65,47.9,2,296,15.3,5.09,24
0.02731,0,7.07,0,4,79,52.671,3,242,17.8,7.9671,21.6
0.02729,0,7.07,0,5,61,68.671,2,242,17.8,18.9671,34.7
0.03237,0,2.18,0,4,46,75.622,1,222,18.7,25.0622,33.4
0.06905,0,2.18,0,5,54,71.622,3,222,18.7,21.0622,36.2
0.02985,0,2.18,0,4,59,82.622,1,222,18.7,17.0622,28.7
0.08829,12.5,7.87,0,4,67,63.605,4,311,15.2,19.5605,22.9
0.14455,12.5,7.87,0,4,96,86.505,3,311,15.2,16.9505,27.1
0.21124,12.5,7.87,0,3,100,76.821,4,311,15.2,18.0821,16.5
0.17004,12.5,7.87,0,4,86,80.921,2,311,15.2,9.5921,18.9
0.22489,12.5,7.87,0,4,94,88.467,4,311,15.2,14.3467,15
0.11747,12.5,7.87,0,4,83,87.267,4,311,15.2,15.2267,18.9
0.09378,12.5,7.87,0,3,39,78.509,3,311,15.2,25.4509,21.7
0.62976,0,8.14,0,3,62,69.075,2,307,21,18.7075,20.4
0.63796,0,8.14,0,4,85,64.619,4,307,21,12.4619,18.2
0.62739,0,8.14,0,3,57,72.986,2,307,21,8.4986,19.9
1.05393,0,8.14,0,3,29,58.986,3,307,21,15.4986,23.1
0.7842,0,8.14,0,3,82,60.579,2,307,21,21.2579,17.5
0.80271,0,8.14,0,3,37,45.965,3,307,21,6.7965,20.2
0.7258,0,8.14,0,3,70,53.965,3,307,21,20.7965,18.2
1.25179,0,8.14,0,3,98,51.979,1,307,21,18.7979,13.6
0.85204,0,8.14,0,3,89,53.123,1,307,21,9.0123,19.6
1.23247,0,8.14,0,4,92,39.769,2,307,21,23.9769,15.2
0.98843,0,8.14,0,3,100,52.952,4,307,21,24.0952,14.5
0.75026,0,8.14,0,3,94,62.996,4,307,21,22.3996,15.6
0.84054,0,8.14,0,3,86,45.546,1,307,21,9.4546,13.9
0.67191,0,8.14,0,3,90,57.82,2,307,21,21.682,16.6
0.95577,0,8.14,0,4,89,46.534,4,307,21,13.4534,14.8
0.77299,0,8.14,0,4,94,63.547,4,307,21,16.4547,18.4
1.00245,0,8.14,0,4,87,67.39,2,307,21,15.239,21
1.13081,0,8.14,0,3,94,60.33,4,307,21,8.233,12.7
1.35472,0,8.14,0,4,100,63.75,1,307,21,8.175,14.5
1.38799,0,8.14,0,3,82,42.9,1,307,21,13.99,13.2
1.15172,0,8.14,0,3,95,63.872,4,307,21,23.7872,13.1
1.61282,0,8.14,0,4,97,66.598,1,307,21,22.7598,13.5
0.06417,0,5.96,0,3,68,50.603,3,279,19.2,13.3603,18.9
0.09744,0,5.96,0,3,61,37.779,4,279,19.2,11.3779,20
0.08014,0,5.96,0,3,42,57.342,2,279,19.2,22.9342,21
0.17505,0,5.96,0,3,30,56.473,2,279,19.2,11.8473,24.7
0.02763,75,2.95,0,4,22,78.011,2,252,18.3,21.4011,30.8
0.03359,75,2.95,0,5,16,64.011,1,252,18.3,12.4011,34.9
0.12744,0,6.91,0,4,3,66.209,1,233,17.9,15.7209,26.6
0.1415,0,6.91,0,4,7,57.209,2,233,17.9,22.7209,25.3
0.15936,0,6.91,0,4,7,60.209,3,233,17.9,24.7209,24.7
0.12269,0,6.91,0,4,40,84.209,3,233,17.9,6.7209,21.2
0.17142,0,6.91,0,3,34,80.004,1,233,17.9,19.1004,19.3
0.18836,0,6.91,0,3,33,75.004,4,233,17.9,20.1004,20
0.22927,0,6.91,0,4,86,68.894,1,233,17.9,11.6894,16.6
0.25387,0,6.91,0,3,95,64.7,3,233,17.9,10.87,14.4
0.21977,0,6.91,0,3,62,75.877,4,233,17.9,6.0877,19.4
0.08873,21,5.64,0,3,46,72.147,2,243,16.8,7.8147,19.7
0.04337,21,5.64,0,4,63,94.147,4,243,16.8,17.8147,20.5
0.0536,21,5.64,0,4,21,77.147,3,243,16.8,23.8147,25
0.04981,21,5.64,0,3,21,72.147,1,243,16.8,23.8147,23.4
0.0136,75,4,0,3,48,84.197,2,469,21.1,11.3197,18.9
0.01311,90,1.22,0,5,22,92.966,2,226,17.9,18.6966,35.4
0.02055,85,0.74,0,4,36,114.876,4,313,17.3,22.1876,24.7
0.01432,100,1.32,0,4,41,94.248,2,256,15.1,16.3248,31.6
0.15445,25,5.13,0,4,29,98.148,4,284,19.7,25.8148,23.3
0.10328,25,5.13,0,3,47,99.32,1,284,19.7,7.932,19.6
0.14932,25,5.13,0,3,66,76.254,2,284,19.7,26.2254,18.7
0.17171,25,5.13,0,3,93,81.185,4,284,19.7,19.8185,16
0.11027,25,5.13,0,4,68,94.255,2,284,19.7,16.2255,22.2
0.1265,25,5.13,0,4,43,84.809,2,284,19.7,16.9809,25
0.01951,17.5,1.38,0,5,60,112.229,1,216,18.6,14.2229,33
0.03584,80,3.37,0,4,18,93.115,4,337,16.1,12.6115,23.5
0.04379,80,3.37,0,3,31,96.115,3,337,16.1,22.6115,19.4
0.05789,12.5,6.07,0,3,21,75.98,4,345,18.9,16.498,22
0.13554,12.5,6.07,0,3,37,89.98,3,345,18.9,16.498,17.4
0.12816,12.5,6.07,0,3,33,67.98,2,345,18.9,12.498,20.9
0.08826,0,10.81,0,4,7,81.873,3,305,19.2,9.2873,24.2
0.15876,0,10.81,0,3,18,64.873,3,305,19.2,15.2873,21.7
0.09164,0,10.81,0,4,8,52.873,2,305,19.2,25.2873,22.8
0.19539,0,10.81,0,4,6,82.873,2,305,19.2,20.2873,23.4
0.07896,0,12.83,0,4,6,67.515,2,398,18.7,15.2515,24.1
0.09512,0,12.83,0,4,45,71.026,4,398,18.7,15.5026,21.4
0.10153,0,12.83,0,4,75,68.522,3,398,18.7,17.0522,20
0.08707,0,12.83,0,4,46,66.905,2,398,18.7,20.0905,20.8
0.05646,0,12.83,0,4,54,65.141,3,398,18.7,24.0141,21.2
0.08387,0,12.83,0,3,37,51.026,3,398,18.7,11.5026,20.3
0.04113,25,4.86,0,4,34,79.007,4,281,19,13.4007,28
0.04462,25,4.86,0,4,70,66.007,3,281,19,13.4007,23.9
0.03659,25,4.86,0,4,32,56.007,1,281,19,15.4007,24.8
0.03551,25,4.86,0,4,47,75.007,2,281,19,17.4007,22.9
0.05059,0,4.49,0,4,48,70.794,1,247,18.5,22.7794,23.9
0.05735,0,4.49,0,4,56,66.377,2,247,18.5,18.4377,26.6
0.05188,0,4.49,0,4,45,54.272,1,247,18.5,5.4272,22.5
0.07151,0,4.49,0,4,57,52.476,4,247,18.5,16.7476,22.2
0.0566,0,3.41,0,5,86,50.217,4,270,17.8,18.4217,23.6
0.05302,0,3.41,0,5,63,57.145,4,270,17.8,19.4145,28.7
0.04684,0,3.41,0,4,66,50.923,1,270,17.8,14.0923,22.6
0.03932,0,3.41,0,4,74,38.921,4,270,17.8,9.0921,22
0.04203,28,15.04,0,4,54,56.659,1,270,18.2,16.6659,22.9
0.02875,28,15.04,0,4,29,42.659,2,270,18.2,13.6659,25
0.04294,28,15.04,0,4,77,49.15,3,270,18.2,5.615,20.6
0.12204,0,2.89,0,4,58,52.952,4,276,18,17.4952,28.4
0.11504,0,2.89,0,4,70,56.952,4,276,18,15.4952,21.4
0.12083,0,2.89,0,6,76,60.952,2,276,18,21.4952,38.7
0.08187,0,2.89,0,5,37,51.952,3,276,18,14.4952,43.8
0.0686,0,2.89,0,5,63,38.952,2,276,18,5.4952,33.2
0.14866,0,8.56,0,4,80,39.778,2,384,20.9,15.7778,27.5
0.11432,0,8.56,0,4,71,55.561,4,384,20.9,17.8561,26.5
0.22876,0,8.56,0,4,85,27.147,1,384,20.9,17.7147,18.6
0.21161,0,8.56,0,4,87,44.147,2,384,20.9,20.7147,19.3
0.1396,0,8.56,0,4,90,31.21,2,384,20.9,22.421,20.1
0.13262,0,8.56,0,3,97,41.069,2,384,20.9,15.1069,19.5
0.1712,0,8.56,0,3,92,39.11,1,384,20.9,22.211,19.5
0.13117,0,8.56,0,4,85,23.224,1,384,20.9,4.1224,20.4
0.12802,0,8.56,0,4,97,35.329,3,384,20.9,10.4329,19.8
0.26363,0,8.56,0,4,91,26.451,1,384,20.9,19.5451,19.4
0.10793,0,8.56,0,4,54,27.778,2,384,20.9,10.7778,21.7
0.10084,0,10.01,0,4,82,51.775,2,432,17.8,21.6775,22.8
0.12329,0,10.01,0,3,93,51.534,4,432,17.8,15.3534,18.8
0.22212,0,10.01,0,4,95,48.48,1,432,17.8,12.548,18.7
0.14231,0,10.01,0,4,84,37.565,4,432,17.8,6.2565,18.5
0.17134,0,10.01,0,3,88,26.631,4,432,17.8,6.4631,18.3
0.13158,0,10.01,0,4,73,36.301,4,432,17.8,15.7301,21.2
0.15098,0,10.01,0,4,83,57.474,2,432,17.8,10.7474,19.2
0.13058,0,10.01,0,3,73,34.775,2,432,17.8,20.4775,20.4
0.14476,0,10.01,0,3,65,32.592,3,432,17.8,3.7592,19.3
0.06899,0,25.65,0,3,70,35.577,1,188,19.1,5.2577,22
0.07165,0,25.65,0,4,84,43.974,4,188,19.1,20.1974,20.3
0.09299,0,25.65,0,3,93,46.869,4,188,19.1,11.0869,20.5
0.15038,0,25.65,0,3,97,32.444,1,188,19.1,17.9444,17.3
0.09849,0,25.65,0,3,96,33.063,1,188,19.1,6.0063,18.8
0.16902,0,25.65,0,3,88,23.929,4,188,19.1,14.9929,21.4
0.38735,0,25.65,0,3,96,27.572,3,188,19.1,17.7572,15.7
0.25915,0,21.89,0,3,96,28.883,4,437,21.2,7.7883,16.2
0.32543,0,21.89,0,4,99,25.125,3,437,21.2,20.8125,18
0.88125,0,21.89,0,3,95,20.799,4,437,21.2,8.9799,14.3
0.34006,0,21.89,0,4,99,47.185,1,437,21.2,20.1185,19.2
1.19294,0,21.89,0,4,98,35.71,3,437,21.2,18.271,19.6
0.59005,0,21.89,0,4,98,37.274,1,437,21.2,6.3274,23
0.32982,0,21.89,0,3,95,24.699,2,437,21.2,14.4699,18.4
0.97617,0,21.89,0,3,98,36.46,2,437,21.2,15.346,15.6
0.55778,0,21.89,0,4,98,40.107,2,437,21.2,21.1107,18.1
0.32264,0,21.89,0,3,94,20.669,4,437,21.2,20.9669,17.4
0.35233,0,21.89,0,4,98,21.498,3,437,21.2,14.8498,17.1
0.2498,0,21.89,0,3,98,43.686,3,437,21.2,1.6686,13.3
0.54452,0,21.89,0,4,98,23.687,3,437,21.2,3.6687,17.8
0.2909,0,21.89,0,4,94,16.119,2,437,21.2,12.6119,14
1.62864,0,21.89,0,3,100,43.394,4,437,21.2,7.4394,14.4
3.32105,0,19.58,1,3,100,21.216,3,403,14.7,6.3216,13.4
4.0974,0,19.58,0,3,100,38.118,4,403,14.7,21.4118,15.6
2.77974,0,19.58,0,2,98,41.459,1,403,14.7,18.3459,11.8
2.37934,0,19.58,0,4,100,24.191,2,403,14.7,10.4191,13.8
2.15505,0,19.58,0,3,100,31.166,3,403,14.7,8.5166,15.6
2.36862,0,19.58,0,2,96,27.608,4,403,14.7,9.4608,14.6
2.33099,0,19.58,0,3,94,41.296,1,403,14.7,6.5296,17.8
2.73397,0,19.58,0,3,95,37.257,4,403,14.7,21.5257,15.4
1.6566,0,19.58,0,4,97,43.18,1,403,14.7,17.618,21.5
1.49632,0,19.58,0,3,100,35.916,2,403,14.7,16.5916,19.6
1.12658,0,19.58,1,3,88,40.102,3,403,14.7,18.6102,15.3
2.14918,0,19.58,0,3,99,39.232,3,403,14.7,10.6232,19.4
1.41385,0,19.58,1,4,96,20.494,3,403,14.7,16.7494,17
3.53501,0,19.58,1,4,83,36.455,1,403,14.7,10.7455,15.6
2.44668,0,19.58,0,3,94,27.364,3,403,14.7,2.7364,13.1
1.22358,0,19.58,0,4,97,31.773,3,403,14.7,14.8773,41.3
1.34284,0,19.58,0,4,100,38.573,1,403,14.7,7.7573,24.3
1.42502,0,19.58,0,4,100,20.659,1,403,14.7,15.7659,23.3
1.27346,0,19.58,1,4,93,19.984,3,403,14.7,19.7984,27
1.46336,0,19.58,0,5,91,27.709,3,403,14.7,21.9709,50
1.83377,0,19.58,1,5,98,32.407,4,403,14.7,18.0407,50
1.51902,0,19.58,1,6,94,44.62,2,403,14.7,7.162,50
2.24236,0,19.58,0,3,92,30.22,1,403,14.7,22.422,22.7
2.924,0,19.58,0,4,93,52.834,1,403,14.7,14.2834,25
2.01019,0,19.58,0,5,96,46.459,4,403,14.7,10.0459,50
1.80028,0,19.58,0,3,79,52.259,1,403,14.7,7.4259,23.8
2.3004,0,19.58,0,4,96,22,1,403,14.7,15.1,23.8
2.44953,0,19.58,0,4,95,51.625,4,403,14.7,5.2625,22.3
1.20742,0,19.58,0,3,95,28.259,2,403,14.7,5.4259,17.4
